datasetId;startTime;endTime;value
124;2024-10-10T23:45:00.000Z;2024-10-11T00:00:00.000Z;7802.45
124;2024-10-10T23:30:00.000Z;2024-10-10T23:45:00.000Z;7830.41
124;2024-10-10T23:15:00.000Z;2024-10-10T23:30:00.000Z;7865.56
124;2024-10-10T23:00:00.000Z;2024-10-10T23:15:00.000Z;7926.36
124;2024-10-10T22:45:00.000Z;2024-10-10T23:00:00.000Z;8041.5
124;2024-10-10T22:30:00.000Z;2024-10-10T22:45:00.000Z;8061.23
124;2024-10-10T22:15:00.000Z;2024-10-10T22:30:00.000Z;8044.89
124;2024-10-10T22:00:00.000Z;2024-10-10T22:15:00.000Z;8100.96
124;2024-10-10T21:45:00.000Z;2024-10-10T22:00:00.000Z;8108.19
124;2024-10-10T21:30:00.000Z;2024-10-10T21:45:00.000Z;8204.44
124;2024-10-10T21:15:00.000Z;2024-10-10T21:30:00.000Z;8311.72
124;2024-10-10T21:00:00.000Z;2024-10-10T21:15:00.000Z;8388.06
124;2024-10-10T20:45:00.000Z;2024-10-10T21:00:00.000Z;8453.27
124;2024-10-10T20:30:00.000Z;2024-10-10T20:45:00.000Z;8564.11
124;2024-10-10T20:15:00.000Z;2024-10-10T20:30:00.000Z;8682.72
124;2024-10-10T20:00:00.000Z;2024-10-10T20:15:00.000Z;8799.68
124;2024-10-10T19:45:00.000Z;2024-10-10T20:00:00.000Z;8908.99
124;2024-10-10T19:30:00.000Z;2024-10-10T19:45:00.000Z;8975.54
124;2024-10-10T19:15:00.000Z;2024-10-10T19:30:00.000Z;9084.18
124;2024-10-10T19:00:00.000Z;2024-10-10T19:15:00.000Z;9103.86
124;2024-10-10T18:45:00.000Z;2024-10-10T19:00:00.000Z;8997.86
124;2024-10-10T18:30:00.000Z;2024-10-10T18:45:00.000Z;9029.25
124;2024-10-10T18:15:00.000Z;2024-10-10T18:30:00.000Z;9150.01
124;2024-10-10T18:00:00.000Z;2024-10-10T18:15:00.000Z;9229.41
124;2024-10-10T17:45:00.000Z;2024-10-10T18:00:00.000Z;9353.49
124;2024-10-10T17:30:00.000Z;2024-10-10T17:45:00.000Z;9462.59
124;2024-10-10T17:15:00.000Z;2024-10-10T17:30:00.000Z;9542.71
124;2024-10-10T17:00:00.000Z;2024-10-10T17:15:00.000Z;9561.15
124;2024-10-10T16:45:00.000Z;2024-10-10T17:00:00.000Z;9572.87
124;2024-10-10T16:30:00.000Z;2024-10-10T16:45:00.000Z;9637.14
124;2024-10-10T16:15:00.000Z;2024-10-10T16:30:00.000Z;9667.21
124;2024-10-10T16:00:00.000Z;2024-10-10T16:15:00.000Z;9647.77
124;2024-10-10T15:45:00.000Z;2024-10-10T16:00:00.000Z;9634.42
124;2024-10-10T15:30:00.000Z;2024-10-10T15:45:00.000Z;9579.53
124;2024-10-10T15:15:00.000Z;2024-10-10T15:30:00.000Z;9496.19
124;2024-10-10T15:00:00.000Z;2024-10-10T15:15:00.000Z;9470.82
124;2024-10-10T14:45:00.000Z;2024-10-10T15:00:00.000Z;9382
124;2024-10-10T14:30:00.000Z;2024-10-10T14:45:00.000Z;9410.88
124;2024-10-10T14:15:00.000Z;2024-10-10T14:30:00.000Z;9414.73
124;2024-10-10T14:00:00.000Z;2024-10-10T14:15:00.000Z;9376.62
124;2024-10-10T13:45:00.000Z;2024-10-10T14:00:00.000Z;9414.06
124;2024-10-10T13:30:00.000Z;2024-10-10T13:45:00.000Z;9342.48
124;2024-10-10T13:15:00.000Z;2024-10-10T13:30:00.000Z;9329.59
124;2024-10-10T13:00:00.000Z;2024-10-10T13:15:00.000Z;9354.3
124;2024-10-10T12:45:00.000Z;2024-10-10T13:00:00.000Z;9360.85
124;2024-10-10T12:30:00.000Z;2024-10-10T12:45:00.000Z;9373.6
124;2024-10-10T12:15:00.000Z;2024-10-10T12:30:00.000Z;9370.56
124;2024-10-10T12:00:00.000Z;2024-10-10T12:15:00.000Z;9370.42
124;2024-10-10T11:45:00.000Z;2024-10-10T12:00:00.000Z;9413.74
124;2024-10-10T11:30:00.000Z;2024-10-10T11:45:00.000Z;9497.97
124;2024-10-10T11:15:00.000Z;2024-10-10T11:30:00.000Z;9474.11
124;2024-10-10T11:00:00.000Z;2024-10-10T11:15:00.000Z;9502.15
124;2024-10-10T10:45:00.000Z;2024-10-10T11:00:00.000Z;9549.79
124;2024-10-10T10:30:00.000Z;2024-10-10T10:45:00.000Z;9653.51
124;2024-10-10T10:15:00.000Z;2024-10-10T10:30:00.000Z;9661.6
